ID,Z_score
Twin_MZ_1A,0.4863555526776483
Twin_MZ_2A,0.1974314706764942
NotTwin1,0.31929745869102133
Twin_DZ_1A,0.28108995316204227
Twin_DZ_2A,0.444128087523581
Twin_DZ_3A,0.35304610721409974
Twin_DZ_3B,0.5242337225386879
Twin_DZ_4A,0.041121902974941664
Twin_MZ_3A,0.4277372005080306
NotTwin2,-0.9213402571061446
Twin_MZ_4A,0.4914300651940471
NotTwin3,0.46865640813185533
Twin_DZ_2B,0.4559947507653385
Twin_MZ_5A,-1.1661491847443797
Twin_MZ_6A,0.4962343668130458
NotTwin4,0.4808466361739313
NotTwin5,0.5088142181838332
NotTwin6,0.4555908266488076
Twin_DZ_5A,0.45283923938638104
Twin_MZ_7A,0.4591108490359855
Twin_DZ_6A,0.522762840314204
Twin_MZ_8A,0.43666575001133007
Twin_MZ_3B,-2.523764400639333
NotTwin7,-3.2370928248009823
Twin_MZ_9A,0.5254593962166568
Twin_MZ_10A,0.5209802596409169
Twin_DZ_7A,0.33520177425128034
NotTwin9,0.4250914306053028
NotTwin10,0.49037314387708303
NotTwin11,0.41940741252899383
Twin_MZ_11A,0.46341611067676636
Twin_MZ_12A,0.5040980757252685
NotTwin12,0.5234105091764081
NotTwin13,0.49916039162729686
Twin_MZ_13A,0.5494098174904346
Twin_DZ_8A,0.5155452538367274
Twin_MZ_11B,0.44419717474585146
Twin_DZ_9A,0.4701688582355066
Twin_MZ_14A,-1.366490505056348
Twin_MZ_15A,0.44156507245361104
Twin_MZ_14B,-1.411137747267673
NotTwin14,0.5162819411229675
Twin_DZ_10A,-0.9035541710162234
Twin_MZ_10B,0.14721897018852798
Twin_MZ_8B,0.3676973431864621
NotTwin15,0.04295970349862004
Twin_DZ_4B,0.44458528063179115
Twin_MZ_16A,0.23080844494964078
Twin_DZ_11A,0.48489426029981614
Twin_MZ_17A,0.5273944782121393
Twin_MZ_1B,0.48047296293764535
Twin_MZ_4B,-0.07451807059849172
Twin_DZ_6B,-0.8630764240440714
Twin_MZ_18A,0.3319574594612429
Twin_DZ_10B,0.48489958448562825
NotTwin16,0.3291929629377998
Twin_MZ_16B,-3.202795478417235
Twin_DZ_12A,0.4267155889999678
NotTwin17,0.40068990128244614
Twin_DZ_7B,0.41958806543247873
Twin_MZ_6B,0.37685034779245075
NotTwin18,-1.0361781415473486
NotTwin19,0.28991756081361353
Twin_DZ_8B,0.48118778488869485
Twin_MZ_7B,0.44306272360936316
Twin_MZ_15B,0.3823802948988026
NotTwin20,0.06549760099937657
Twin_MZ_12B,-0.3144636569830658
Twin_MZ_18B,0.3656900625002739
NotTwin21,-0.017648762864090874
NotTwin22,0.48174414630782975
Twin_MZ_19A,0.5027018018890788
NotTwin23,0.38716779788740696
Twin_MZ_2B,0.29954053885820164
NotTwin8,-2.421851869957469
NotTwin24,-1.3800873672848037
Twin_DZ_1B,0.4583934600836539
Twin_DZ_13A,0.2351159204753683
Twin_DZ_12B,0.47863031409110973
Twin_MZ_5B,-0.90763040630032
Twin_DZ_13B,-1.7061878646595443
Twin_DZ_9B,0.4974275185174541
Twin_MZ_13B,0.46913853248601534
Twin_MZ_17B,0.4727548123998454
Twin_DZ_11B,0.4750942619443312
Twin_DZ_5B,-5.3256463312843305
Twin_MZ_9B,0.5511102505450853
NotTwin25,-0.37992198842960956
Twin_MZ_19B,0.37990068667332544
