Subjects,DifferentiabilityScore
Twin_MZ_1A,1.6652736725102804
Twin_MZ_2A,0.9715323691627139
NotTwin1,1.8751761766499222
Twin_DZ_1A,1.953606293439358
Twin_DZ_2A,1.6445646627274775
Twin_DZ_3A,1.4947737406239956
Twin_DZ_3B,1.8913368197531149
Twin_DZ_4A,1.556403077762709
Twin_MZ_3A,1.8177197928554556
NotTwin2,0.7557621608983465
Twin_MZ_4A,1.5608628450675868
NotTwin3,1.9314639977064119
Twin_DZ_2B,2.220067719811952
Twin_MZ_5A,1.5081647073676494
Twin_MZ_6A,2.0091197252746755
NotTwin4,1.3773512995888764
NotTwin5,1.6403286060931863
NotTwin6,1.750282819548134
Twin_DZ_5A,1.992196118371946
Twin_MZ_7A,1.5903701504002408
Twin_DZ_6A,1.7920245256085574
Twin_MZ_8A,1.6291096734152
Twin_MZ_3B,0.03929455059773712
NotTwin7,0.10432132955037421
Twin_MZ_9A,1.6224563756293178
Twin_MZ_10A,1.7212610706695448
Twin_DZ_7A,1.464622757271351
NotTwin9,2.10809309747739
NotTwin10,1.6181061975071398
NotTwin11,1.5076552645457373
Twin_MZ_11A,1.5387810673949336
Twin_MZ_12A,1.419774713911704
NotTwin12,1.824844696035985
NotTwin13,1.6969688867245807
Twin_MZ_13A,1.2032141386370128
Twin_DZ_8A,1.9890488580842616
Twin_MZ_11B,1.5711862273748693
Twin_DZ_9A,2.1306040550942424
Twin_MZ_14A,0.3972844172868372
Twin_MZ_15A,1.938418292257943
Twin_MZ_14B,1.3931337499889527
NotTwin14,2.128760213841096
Twin_DZ_10A,1.4411338176161588
Twin_MZ_10B,1.48061325588288
Twin_MZ_8B,1.5609431579616544
NotTwin15,1.6122222982230427
Twin_DZ_4B,1.6138067582698463
Twin_MZ_16A,1.7966549532048612
Twin_DZ_11A,2.0200943991427467
Twin_MZ_17A,1.6410834294262848
Twin_MZ_1B,1.7079793801151608
Twin_MZ_4B,1.3572248697638205
Twin_DZ_6B,1.9599617622522645
Twin_MZ_18A,1.6196481462758419
Twin_DZ_10B,2.60244189061505
NotTwin16,1.2852453625639033
Twin_MZ_16B,0.565326142686108
Twin_DZ_12A,1.0573467657386921
NotTwin17,1.4358660178123486
Twin_DZ_7B,1.5384806540072002
Twin_MZ_6B,1.6880734505588777
NotTwin18,1.710919181971889
NotTwin19,1.0627240295202915
Twin_DZ_8B,1.6784464193080477
Twin_MZ_7B,1.6620565531614198
Twin_MZ_15B,1.776107154228897
NotTwin20,1.870140394338175
Twin_MZ_12B,1.5416814477207803
Twin_MZ_18B,1.5451988204132698
NotTwin21,0.7097666108009529
NotTwin22,1.8071291809786543
Twin_MZ_19A,1.8820720863766933
NotTwin23,1.9823713788835524
Twin_MZ_2B,0.4115603603133524
NotTwin8,1.0265046458304845
NotTwin24,1.1956996452543058
Twin_DZ_1B,1.673255160903589
Twin_DZ_13A,2.3944816255682944
Twin_DZ_12B,1.6480494223963182
Twin_MZ_5B,1.7951736725584586
Twin_DZ_13B,1.543026667607391
Twin_DZ_9B,1.7810692709150564
Twin_MZ_13B,1.9612552966803756
Twin_MZ_17B,1.7023741335505242
Twin_DZ_11B,2.0477951896008344
Twin_DZ_5B,0.8766995553487152
Twin_MZ_9B,1.672843747800717
NotTwin25,1.0397724914247537
Twin_MZ_19B,1.9319321227487318
